video_name,label
0.mp4,0
1.mp4,1
2.mp4,2
3.mp4,3
4.mp4,4
5.mp4,5
6.mp4,6
7.mp4,7
8.mp4,8
9.mp4,9
A.mp4,A
After.mp4,After
Again.mp4,Again
Against.mp4,Against
Age.mp4,Age
All.mp4,All
Alone.mp4,Alone
Also.mp4,Also
And.mp4,And
Ask.mp4,Ask
At.mp4,At
B.mp4,B
Be.mp4,Be
Beautiful.mp4,Beautiful
Before.mp4,Before
Best.mp4,Best
Better.mp4,Better
Busy.mp4,Busy
But.mp4,But
Bye.mp4,Bye
C.mp4,C
Can.mp4,Can
Cannot.mp4,Cannot
Change.mp4,Change
College.mp4,College
Come.mp4,Come
Computer.mp4,Computer
D.mp4,D
Day.mp4,Day
Distance.mp4,Distance
Do Not.mp4,Do Not
Do.mp4,Do
Does Not.mp4,Does Not
E.mp4,E
Eat.mp4,Eat
Engineer.mp4,Engineer
F.mp4,F
Fight.mp4,Fight
Finish.mp4,Finish
From.mp4,From
G.mp4,G
Glitter.mp4,Glitter
Go.mp4,Go
God.mp4,God
Gold.mp4,Gold
Good.mp4,Good
Great.mp4,Great
H.mp4,H
Hand.mp4,Hand
Hands.mp4,Hands
Happy.mp4,Happy
Hello.mp4,Hello
Help.mp4,Help
Her.mp4,Her
Here.mp4,Here
His.mp4,His
Home.mp4,Home
Homepage.mp4,Homepage
How.mp4,How
I.mp4,I
Invent.mp4,Invent
It.mp4,It
J.mp4,J
K.mp4,K
Keep.mp4,Keep
L.mp4,L
Language.mp4,Language
Laugh.mp4,Laugh
Learn.mp4,Learn
M.mp4,M
ME.mp4,ME
More.mp4,More
My.mp4,My
N.mp4,N
Name.mp4,Name
Next.mp4,Next
Not.mp4,Not
Now.mp4,Now
O.mp4,O
Of.mp4,Of
On.mp4,On
Our.mp4,Our
Out.mp4,Out
P.mp4,P
Pretty.mp4,Pretty
Q.mp4,Q
R.mp4,R
Right.mp4,Right
S.mp4,S
Sad.mp4,Sad
Safe.mp4,Safe
See.mp4,See
Self.mp4,Self
Sign.mp4,Sign
Sing.mp4,Sing
So.mp4,So
Sound.mp4,Sound
Stay.mp4,Stay
Study.mp4,Study
T.mp4,T
Talk.mp4,Talk
Television.mp4,Television
Thank You.mp4,Thank You
Thank.mp4,Thank
That.mp4,That
They.mp4,They
This.mp4,This
Those.mp4,Those
Time.mp4,Time
To.mp4,To
Type.mp4,Type
U.mp4,U
Us.mp4,Us
V.mp4,V
W.mp4,W
Walk.mp4,Walk
Wash.mp4,Wash
Way.mp4,Way
We.mp4,We
Welcome.mp4,Welcome
What.mp4,What
When.mp4,When
Where.mp4,Where
Which.mp4,Which
Who.mp4,Who
Whole.mp4,Whole
Whose.mp4,Whose
Why.mp4,Why
Will.mp4,Will
With.mp4,With
Without.mp4,Without
Words.mp4,Words
Work.mp4,Work
World.mp4,World
Wrong.mp4,Wrong
X.mp4,X
Y.mp4,Y
You.mp4,You
Your.mp4,Your
Yourself.mp4,Yourself
Z.mp4,Z
